"{'name', 'Austin-Healey BN4 100/6 fully restored Heritage Certificate impeccable condition (1958)'}","{'Manufacturer', 'Austin-Healey'}","{'BN4 100/6', 'Model'}","{'1958', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '102'}","{'2.340 mi', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 91710 Gunzenhausen'}","{'Blue-White', 'Color'}"
"{'name', 'Austin Healey Sprite Mark 1 Frogeye with tonneau cover invested over €20,000 (1960)'}","{'Manufacturer', 'Austin-Healey'}","{'Sprite Mark 1', 'Model'}","{'1960', 'Year'}","{'Manual', 'Transmission'}","{'65', 'Horsepower'}","{'Milage', '31.968 km'}","{'Country Version', 'CH'}","{'DE-76646 Untergrombach', 'Location'}","{'green', 'Color'}"
"{'name', 'Austin-Healy Sprite Mark 2 Speedwell GT left-hand drive 1 of 2 pieces Worldwide with BMIHT certificate (1961)'}","{'Manufacturer', 'Austin-Healey'}","{'Speedwell', 'Model'}","{'1961', 'Year'}","{'Transmission', 'Manual Transmission'}","{'64', 'Horsepower'}","{'3.805 mi', 'Milage'}","{'Country Version', 'NL'}","{'🇩🇪 45149 Essen', 'Location'}","{'Yellow', 'Color'}"
"{'name', 'Autobianchi A112 E Abarth engine fully restored unique condition (1974)'}","{'Manufacturer', 'Autobianchi'}","{'A112', 'Model'}","{'1974', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '70'}","{'Milage', '76.500 Km'}","{'IT', 'Country Version'}","{'🇩🇪 25421 Pinneberg', 'Location'}","{'Color', 'red'}"
"{'name', 'Autobianchi Bianchina Panoramica Bicolor special Italo classic in good condition (1963)'}","{'Manufacturer', 'Autobianchi'}","{'Panoramica', 'Model'}","{'1963', 'Year'}","{'Transmission', 'Manual Transmission'}","{'17.5', 'Horsepower'}","{'29.793 km', 'Milage'}","{'IT', 'Country Version'}","{'Location', '🇩🇪 86150 Augsburg'}","{'Color', 'Grey'}"
"{'Bentley Arnage (1999)', 'name'}","{'Bentley', 'Manufacturer'}","{'Arnage', 'Model'}","{'1999', 'Year'}","{'-', 'Transmission'}","{'', 'Horsepower'}","{'115.000 km', 'Milage'}","{'N/A', 'Country Version'}","{'Location', '🇦🇹 1020 Wien'}","{'', 'Color'}"
"{'Bentley T1 (1974)', 'name'}","{'Bentley', 'Manufacturer'}","{'T1', 'Model'}","{'1974', 'Year'}","{'-', 'Transmission'}","{'', 'Horsepower'}","{'70000', 'Milage'}","{'N/A', 'Country Version'}","{'51069 Köln', 'Location'}","{'', 'Color'}"
"{'Bentley Continental GTC Speed W12 Engine 610 hp Memory seats Multi-zone automatic climate control from 2nd hand (2011)', 'name'}","{'Bentley', 'Manufacturer'}","{'Continental', 'Model'}","{'2010', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '610'}","{'56.000 km', 'Milage'}","{'AE', 'Country Version'}","{'🇩🇪 75173 Pforzheim', 'Location'}","{'Color', 'Black'}"
"{'Bentley Continental GT Complete Mansory conversion very rarely in top condition (2005)', 'name'}","{'Bentley', 'Manufacturer'}","{'Continental GT', 'Model'}","{'2005', 'Year'}","{'Transmission', 'Automatic'}","{'Horsepower', '560'}","{'60.300 km', 'Milage'}","{'Country Version', 'JP'}","{'🇩🇪 75173 Pforzheim', 'Location'}","{'Color', 'Black'}"
"{'Bentley Eight einmaliger Zustand Klima, elektr. Sitze 60.000€ in Rechnungen  (1985)', 'name'}","{'Bentley', 'Manufacturer'}","{'Eight', 'Model'}","{'1985', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'Milage', '33.300 mi'}","{'GB', 'Country Version'}","{'Location', '🇩🇪 Hamburg'}","{'Blau Metallic', 'Color'}"
"{'Bentley Eight Klima elektrische Fensterheber Schiebedach besonders schönes Exemplar (1988)', 'name'}","{'Bentley', 'Manufacturer'}","{'Eight', 'Model'}","{'1988', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'79.500 Km', 'Milage'}","{'Country Version', 'DE'}","{'🇩🇪 Oberhausen', 'Location'}","{'Color', 'Grün'}"
"{'name', 'Bentley Eight sehr gepflegt 60.000€ Rechnungen (1985)'}","{'Bentley', 'Manufacturer'}","{'Eight', 'Model'}","{'1985', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'Milage', '33.300 mi'}","{'GB', 'Country Version'}","{'Location', '🇩🇪 Hamburg'}","{'Blau Metallic', 'Color'}"
"{'Bentley Mark VI Special Rare Specimen with Unique History (1947)', 'name'}","{'Bentley', 'Manufacturer'}","{'Mark VI', 'Model'}","{'1947', 'Year'}","{'Transmission', 'Manual Transmission'}","{'126', 'Horsepower'}","{'Milage', '54.000 mi'}","{'GB', 'Country Version'}","{'🇩🇪 69126 Heidelberg', 'Location'}","{'Color', 'red'}"
"{'Bentley S2 Bestzustand 4-Gang Hydramatic Gutachten (1962)', 'name'}","{'Bentley', 'Manufacturer'}","{'S2', 'Model'}","{'1962', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'4.562 mi (abgelesen)', 'Milage'}","{'GB', 'Country Version'}","{'🇩🇪 Thale', 'Location'}","{'Silber/Blau', 'Color'}"
